,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2002979,943401,120355,prior,8,4,18,16.0
2825381,74462,170462,prior,7,1,7,30.0
2573276,2853569,154838,prior,3,3,12,30.0
2257739,3186026,135968,prior,7,5,9,7.0
3106490,192327,187335,prior,6,5,13,5.0
344032,281691,20822,prior,39,6,10,4.0
1564080,1829802,93947,train,10,2,16,20.0
192301,1552122,11650,prior,6,5,17,4.0
2579830,2437089,155258,prior,46,6,16,28.0
2184316,1210120,131506,prior,2,1,13,14.0
3085643,759219,186076,prior,3,1,9,14.0
736770,2799551,44342,prior,13,6,19,5.0
1616938,1224463,97082,prior,9,2,16,23.0
1158657,1373418,69629,prior,28,6,10,3.0
785144,2356969,47212,prior,2,2,12,5.0
1270249,2351513,76386,prior,3,1,11,5.0
1761777,3418322,105752,prior,7,4,20,30.0
3154552,3281753,190234,prior,3,3,16,11.0
552524,2046116,33308,prior,10,2,16,13.0
763906,3080470,45931,prior,8,4,16,30.0
3396192,330433,204667,prior,21,3,16,23.0
2223604,822969,133950,prior,2,2,12,17.0
657145,1298067,39590,train,4,3,14,30.0
2642274,1288220,159075,prior,6,4,21,12.0
2167368,2669957,130399,prior,11,1,23,20.0
328110,715757,19866,prior,18,2,16,1.0
2192663,1363927,132009,prior,5,3,12,30.0
1872023,683558,112365,prior,21,0,15,1.0
619123,1639119,37327,prior,6,2,22,30.0
2655424,1073930,159820,prior,6,0,15,14.0
1927587,682610,115777,prior,5,4,15,30.0
3208356,1475579,193441,prior,6,0,11,0.0
1919856,3198104,115309,prior,5,5,10,21.0
736142,3201125,44301,prior,15,6,21,7.0
3337340,2261050,201181,prior,10,6,18,24.0
45453,1720543,2807,prior,9,3,10,7.0
993579,2117120,59713,prior,3,0,11,6.0
38126,1109822,2362,prior,29,4,14,13.0
2377295,1391795,143072,prior,2,1,7,6.0
2510611,1208429,151152,prior,6,5,17,30.0
1447901,3355815,87005,prior,5,2,5,16.0
343164,2664205,20769,prior,21,1,15,5.0
2150251,2429170,129340,prior,3,2,10,18.0
3173512,692555,191360,prior,14,4,18,30.0
2340281,2924488,140896,prior,11,1,11,14.0
500480,191613,30172,prior,11,6,11,21.0
793560,1096854,47703,prior,18,0,15,13.0
352764,1929709,21311,prior,14,0,16,7.0
