order_id,product_id,add_to_cart_order,reordered
958525,24852,7,1
16033,45221,33,0
1343396,30489,4,1
167363,46266,1,1
209596,8204,3,1
3008306,25852,10,0
3042307,24561,3,0
3283460,5876,2,1
1078507,34429,5,0
2505136,26040,18,0
2173264,6317,11,0
529350,48769,2,0
1393104,17824,3,0
1353243,45747,2,0
1474066,24024,3,1
458182,27845,9,0
1826736,40604,11,0
818422,33392,6,0
2256455,20723,1,0
2966216,14992,3,0
2327488,3957,3,1
1471877,2966,9,1
3205311,10246,17,1
2051468,32755,16,0
3228690,11759,3,1
2167382,25824,5,0
376139,16249,5,1
626096,42244,4,1
806338,24160,3,1
161104,16490,12,1
991758,18656,1,1
342154,14814,8,1
1318202,48335,10,1
2715219,47209,1,1
441546,16981,20,0
2376440,5876,9,0
1035252,36549,22,0
563783,45158,5,0
354376,43394,8,1
1309658,46906,4,1
2900011,11712,4,1
1712105,11371,6,1
72546,7969,2,1
3078665,26209,3,1
2224140,30489,22,0
14981,21749,7,0
229374,20561,3,1
523602,42344,15,0
1813806,27690,7,1
3391699,30391,6,1
317013,34969,13,1
2179404,11068,5,1
2008696,13176,5,1
3244463,21903,3,1
1639029,6746,24,1
602175,46993,6,0
537547,47626,10,0
270927,42585,6,1
3290710,128,5,0
1196505,34525,10,1
871596,2025,5,0
885184,41950,11,1
2110771,30727,4,1
661261,23719,1,0
1368055,31342,7,1
2305741,45066,7,1
3127027,17948,10,1
2307694,31315,7,1
2641191,41874,17,0
3036396,5161,8,0
1956817,40604,15,0
209799,41259,9,1
152742,7255,2,1
2474243,24956,1,1
714646,40604,1,0
1310448,23734,13,1
966175,13269,11,1
880161,27845,8,1
476898,22959,3,0
3216818,47766,4,1
2573113,13176,20,1
652979,31961,14,0
2805567,22935,3,0
2726689,37449,30,0
812055,23537,15,0
545111,34993,6,1
1957447,7503,15,0
1274499,46906,23,1
1345570,5212,3,1
2173038,14741,6,0
1551165,18370,12,1
1686001,26790,9,1
1214389,10904,8,0
2190961,10504,3,1
2989791,39680,7,1
549055,44632,19,0
1165009,27086,5,1
645010,27156,6,1
1647189,1503,5,1
538530,28824,1,1
2838939,8518,2,1
350365,46642,7,0
2553387,2138,4,0
1743969,21903,7,1
1678946,22035,2,1
3407307,30290,5,1
1256642,7500,9,0
1885692,24786,9,0
384341,45064,3,1
48003,11678,5,1
557315,28204,10,1
1441015,46802,6,1
2021597,19476,3,1
1095670,49,1,1
487441,42769,11,1
619970,17898,5,1
1364616,17794,12,1
3033930,5646,26,0
2252544,4799,9,0
2542457,13877,6,1
3353176,37203,10,0
3365867,36640,4,1
2661118,36717,6,1
68394,27086,9,1
661900,24413,3,1
2686679,39812,9,0
3121119,38824,1,0
78540,19151,3,0
1555450,49235,5,1
473171,16647,3,1
890869,30489,2,0
1810737,26209,3,1
3108788,41950,9,1
889533,13176,2,1
3096875,20842,5,1
1779007,49628,10,1
964953,32624,14,0
672309,29011,4,0
2937222,3389,5,1
3090726,13858,9,1
516362,45603,1,1
809178,11679,4,1
2799762,10125,9,0
272814,24852,3,0
1577217,48775,18,1
2304587,4492,10,1
906446,21616,11,1
2959037,15392,3,0
3403168,35425,8,0
1412011,605,22,1
113990,13176,3,0
2140795,2825,2,1
1144965,4920,1,1
526147,34453,2,0
3356031,28842,8,0
1310826,9935,4,0
1389720,31562,11,0
2271659,27966,2,1
87202,11266,1,1
516870,11494,3,0
3275323,35108,1,1
456944,34126,7,0
924210,20520,10,1
2519541,8277,3,1
1834955,28597,11,1
711926,7806,15,0
1734378,12107,27,1
1268738,6184,6,0
2379441,10749,5,1
2810531,27958,1,1
2335698,14381,2,1
2483565,26767,5,1
2721486,1940,21,1
2946384,6522,2,1
3003767,42625,2,0
3123435,42867,10,0
2533085,5782,3,1
2940463,20512,9,1
2779325,196,8,0
1696301,46061,1,1
931699,29922,7,0
2167408,42139,3,1
2619357,9881,12,1
2466126,40593,1,1
755933,34608,2,1
1625052,13176,2,1
1462222,22993,10,0
1406820,22825,9,1
1843020,35221,5,1
2003790,41950,5,0
204252,5618,7,0
2646668,27966,3,1
1684207,21137,2,1
3097995,25659,22,0
2708090,4920,19,0
2790629,45633,1,0
371011,26927,2,0
828450,24799,9,1
2615906,39108,1,0
3225849,12440,27,0
499252,28749,9,0
1012086,43637,3,0
1264313,46260,10,0
1745702,6184,1,1
85675,42265,2,0
2473220,2024,5,0
426211,33745,4,0
3174411,3543,4,1
3023251,21616,18,1
663164,19468,20,0
1512558,32850,16,0
39731,26324,13,1
1716822,5451,1,1
1773013,31066,6,0
1820226,1511,16,1
1560408,7175,20,1
1347465,24964,6,1
3333649,19904,11,0
1347894,11352,5,1
1777115,47209,5,1
2652420,11440,5,1
1575312,738,4,1
2424261,44142,14,1
279506,24759,7,1
464454,33754,7,0
2684008,36764,8,1
552789,3520,10,1
1367182,311,1,1
2926105,17157,16,1
3023457,9635,14,1
2747001,17794,9,1
2783922,13998,45,0
1664699,31683,5,0
342105,31663,25,1
1323045,27966,2,1
104113,44912,14,0
2344218,43772,6,1
719242,37588,1,1
164676,45,12,0
576387,47759,4,1
56710,23236,13,0
1400340,29700,26,0
2904044,21903,1,1
642060,1158,41,1
2851527,36393,7,1
269512,22035,2,0
3076122,16797,6,1
149385,35939,20,1
2986744,24852,1,1
2441457,20734,13,0
2517757,47766,5,1
622043,43892,5,0
282866,32650,1,0
1386244,27061,15,0
2726464,35221,18,0
2482549,21137,10,0
808300,45104,4,1
119313,1896,7,0
3126511,11597,1,0
1599117,47629,7,1
1093224,35951,7,1
2648117,47209,6,1
2827858,35628,11,1
1885026,37646,2,0
3010265,49235,2,1
1493341,38311,4,0
337021,25931,2,1
1354362,16502,11,0
2750215,1463,9,0
1232066,9839,9,0
3402548,12341,1,1
89694,21903,3,1
2697625,21914,5,0
738284,47790,6,1
538657,516,3,1
444731,46759,17,0
1954458,397,10,0
410249,10070,1,1
488982,34197,8,1
590935,31372,8,0
1138108,9604,4,1
3356991,49215,9,1
3301689,34824,4,1
13751,27966,18,1
2651076,47144,3,1
2601851,13660,14,1
3052076,5605,4,0
3249813,14252,1,1
3055374,27966,6,0
3011515,14462,23,1
1639063,33791,3,1
1338409,890,18,1
1246883,16223,11,1
2020802,2385,33,0
1809795,47388,3,0
328689,17794,1,1
3252782,25890,2,0
1551431,15410,2,0
1088831,28204,3,1
2505242,17044,8,1
2240698,12779,20,0
2416001,13263,13,1
3105968,31471,25,0
1904580,20114,11,0
1850869,47209,4,0
694096,15987,2,0
1920057,44368,9,1
1298968,24852,13,1
481029,18078,17,0
3205188,581,3,1
1269274,24852,3,1
2026116,41998,11,0
1308676,21137,5,1
1443558,24852,16,0
135195,9486,16,0
2131926,28204,4,0
1848510,43621,6,0
2542670,20888,7,0
1410820,42828,9,1
49590,2156,5,0
2294692,1158,9,1
2064266,6789,4,1
2799642,35198,8,1
3362728,8269,2,1
399831,47156,3,1
3400557,13627,25,0
448509,1468,11,0
1654714,20520,12,0
1400374,5025,13,0
717883,39877,5,1
937710,9808,12,0
1742364,25195,11,1
1036827,21137,3,1
426717,2063,22,0
618651,18594,4,1
3220927,25304,1,0
2285808,21724,20,1
2137905,45066,3,1
1992685,21479,3,1
1820246,39275,2,1
2519554,21616,2,0
799365,9076,10,1
193447,46175,13,1
2507513,25753,11,0
2248585,45007,4,0
2312664,18027,6,1
2522201,35613,3,0
446195,5077,5,1
316014,35510,9,1
2742176,26604,17,1
1602518,123,15,0
2162729,32455,6,0
1295863,35221,6,0
3248746,47155,7,0
103999,19691,11,1
856249,6499,4,0
2251247,21903,1,1
3185682,14401,2,1
2199355,32689,11,0
2057480,4920,13,1
2199586,36923,7,1
2732481,45502,2,1
2104146,42475,11,0
3125177,25879,1,0
2104087,25844,6,1
610670,16797,1,1
447180,11777,8,0
370448,37250,5,0
2385930,9466,15,1
360522,28204,2,1
3316448,29319,9,1
1653788,38383,6,0
696174,47626,6,1
422247,45761,5,0
1059627,11100,5,1
1427001,38622,6,1
2154071,79,4,1
2301600,44449,6,0
2212686,5296,6,1
664023,25740,26,1
165138,28465,2,1
1480049,27845,4,1
50573,7113,7,0
853176,49381,4,0
567645,12756,5,1
396692,17568,12,0
747048,23537,5,0
1497900,29487,5,1
1843199,19171,2,1
2002303,26066,20,0
2458672,7898,18,1
1867886,44051,9,0
3076914,17902,5,1
2776304,45646,13,0
29332,23484,3,0
2117020,13176,7,1
2782992,48335,5,1
501656,31553,9,0
957655,43721,3,1
2478910,10132,14,1
1924965,47144,2,0
3310640,24852,12,1
649471,2078,9,1
1319694,22825,6,1
307072,33198,6,1
2393605,2556,3,0
127810,44783,7,0
1252698,31717,2,1
3088740,48170,17,0
1496459,19167,6,1
1792065,27344,7,1
672951,30664,12,1
3067638,2908,20,0
472319,22752,8,1
2249747,46346,7,1
2405197,21137,13,1
1888316,34448,9,1
2971427,20734,12,0
204772,740,12,0
1459310,13176,2,1
3366347,42701,18,0
2333172,24506,11,0
1783376,5250,23,0
3090664,4920,5,0
608622,35914,2,1
1744991,26209,21,1
512815,49192,4,1
557638,22935,16,1
3326614,9477,5,1
546300,10890,2,0
2625404,47734,17,1
2854227,8012,21,1
2726826,28123,2,1
1019677,17123,10,1
2767556,22504,4,0
1951373,22000,3,1
1144396,44533,6,1
734073,43928,19,0
198654,28204,2,1
41028,19846,5,1
91890,39922,7,0
955738,38059,2,0
1244861,20114,9,0
3394609,32141,3,1
631354,10644,5,0
893117,14464,15,0
2534378,1158,1,1
1628545,24852,7,1
1773850,13780,2,1
229467,18926,7,0
2044747,38777,18,1
1897665,645,20,1
2987967,37047,21,0
738364,889,9,1
1638947,19068,9,1
403584,33434,4,0
1063302,35951,8,1
2798126,17948,3,1
368983,27845,13,1
1620235,36735,1,1
600964,21903,2,1
252310,9477,6,0
1853211,28204,13,0
3072439,890,7,1
260859,40706,12,1
1925019,22556,1,1
1730938,37710,1,1
1307482,12260,1,0
268037,28912,10,1
205388,27061,12,0
3319322,41338,5,1
455554,38607,9,0
890983,47209,18,1
3408958,6631,9,1
584994,16254,8,0
2123356,27796,13,0
2479089,46962,8,0
539341,43692,5,0
1657031,25165,3,1
1990944,28204,1,0
2078529,26736,12,0
769733,45007,26,0
534321,21903,3,1
2705865,19691,2,0
878841,36082,10,0
989555,38274,4,1
2087950,33000,7,1
2627983,7287,4,1
2814097,47626,14,0
1096050,32682,7,0
2079761,13176,2,1
2298782,47325,3,0
2912871,15649,6,1
3062016,38531,8,0
1540447,1360,9,0
2551519,46676,7,1
1617750,34487,2,0
1182503,44765,22,1
1780464,13166,5,1
1475269,27242,16,0
943886,8048,2,1
2946805,5876,2,1
1119985,12075,6,0
2031506,29418,15,1
169248,7963,16,1
2988610,38127,23,1
1689132,43262,7,0
2367151,18531,10,0
1306045,2966,6,1
2466031,34521,10,0
2720656,12341,17,1
456250,21903,18,1
2528239,44628,3,0
2329431,24852,5,1
175693,20150,2,1
119897,39782,3,1
3293703,6615,6,1
926596,7419,11,0
3384436,41234,5,1
179999,13176,3,0
484756,6748,17,0
1249197,44987,5,0
1386671,14553,6,0
834031,30463,21,0
224545,27845,10,1
2829372,16089,6,0
1723869,44008,14,1
1258052,44632,3,0
1408935,13517,38,1
3024220,25767,22,1
3403602,37053,6,1
3061960,31653,5,0
3388500,26751,11,0
478069,31553,30,0
2644385,9360,10,0
1958488,36519,2,0
505255,11937,10,1
2951604,16803,24,0
1307954,34126,9,1
2987522,21410,6,1
1080661,28154,5,1
2091374,21295,18,0
2655487,31805,1,1
1263324,34688,1,0
2947616,17794,3,0
2900153,15261,7,1
2999917,30406,3,1
3355183,49235,20,1
1071249,5450,3,1
311757,47626,2,1
303389,8467,1,1
1680380,28374,1,1
3328252,10895,4,1
2353420,7503,8,0
1131826,3479,2,1
1385402,23909,8,0
2107106,27521,1,1
3375030,36849,3,0
1480172,15604,3,1
2197841,44734,9,1
1138255,4605,9,1
3024733,47209,4,1
2263088,6297,18,1
917826,18644,22,0
2561683,23373,7,0
2033525,24830,7,0
716193,24231,3,0
2665541,5785,14,1
955808,1969,9,1
716538,24852,5,0
2556910,6187,11,1
2424601,41149,6,1
610125,36672,16,0
3339478,11974,9,1
3251248,18880,14,1
1336820,33768,15,1
1638244,32478,25,0
1986173,9199,9,0
3072604,48747,1,1
1112357,41290,17,1
1718282,33791,4,1
3151833,28535,10,1
2335388,31596,8,0
1780898,47537,19,0
3162708,36675,13,1
3295083,6244,2,1
3322216,27292,23,0
1201167,48110,8,0
1771705,22007,1,1
1282791,26790,9,1
913078,8057,2,0
679037,3721,1,1
2589141,30756,3,0
897114,5499,3,0
2689924,27325,2,1
1242657,1263,7,0
160778,43986,1,0
1862776,36691,3,1
312406,25876,10,0
2240866,5479,12,0
1973135,39947,7,0
2580266,38689,1,1
618369,1981,17,0
908773,6233,24,0
1151134,48364,12,1
3389752,45531,10,1
3373513,8197,1,0
1919848,21903,4,1
3291415,42827,3,1
2116281,13829,5,0
540699,10747,2,0
1605465,15995,16,1
2762296,12464,1,1
1134825,43961,11,1
928451,32688,9,0
3036862,29387,7,1
1834526,21616,12,0
1926669,34386,8,1
1348649,44596,7,1
380346,21903,22,1
470963,14421,3,1
3331642,25985,3,0
1729255,29506,20,1
2627812,26714,18,0
2970199,1311,6,0
2298290,37113,15,0
2870455,29127,4,1
2539593,10859,5,0
2877880,13802,10,1
3269312,11437,24,0
1959546,33731,19,1
2198576,10479,7,0
657975,29334,3,1
738193,24184,2,1
408524,22935,1,1
3052296,10768,19,0
559907,38514,1,0
1215740,47307,11,0
307568,45371,16,1
3163968,8805,12,0
2853954,42356,10,1
511252,14159,6,1
515529,10644,12,0
1790172,9076,8,1
2012790,31487,8,1
1256095,40706,4,0
3069636,11461,9,0
2978196,23600,20,1
984241,43154,9,1
1275293,27012,5,0
1451085,24425,6,0
2272031,24563,3,1
2362438,21137,2,1
2386662,20520,4,0
588217,162,11,0
3169223,47931,4,1
2379858,18471,1,0
2992499,4799,4,0
2859943,9480,11,0
2138251,10337,2,1
889485,41787,6,1
2939769,5785,3,0
