product_id,product_name,aisle_id,department_id
40004,Garden Veggie Straws Lightly Salted,107,19
8947,"Cups, Midnight Blue, 16 oz",111,17
738,Almond Breeze Unsweetened Almond Coconut Milk Blend,91,16
2817,Liqui-Kelp Daily Iodine,47,11
16077,"Containers + Lids, Mini Deep Squares, Cups",85,17
18497,Sunflower Seeds Variety Pack,117,19
36271,Unsweet Lime Water,115,7
27349,Red Zone Swagger Body Wash,127,11
1595,Tradtional Hot Chocolate Mix,90,7
27471,Parmesan Garlic Pita Chips,107,19
34084,"Potassium Gluconate 550 mg, Tablets",47,11
15007,Originale Extra Virgin Olive Oil,19,13
44439,Organic Supersweet Cut Corn,116,1
34262,Hint Of Sea Salt Almond Nut Thins,78,19
24694,Light Butter Popcorn,23,19
3861,Fresh Mushroom  Pasta Sauce,9,9
16409,Purity Cold Pressed Juice,98,7
31909,Dry Spicy Salami Robusto,96,20
19154,Coconut Fruit Bars,37,1
9862,Cold Pressed Fuji Apple Juice,31,7
32121,Intense Stain Whitening Toothpaste With Fluoride,20,11
12936,Light Recipe Vanilla Bean,37,1
45501,Milk Chocolate English Toffee Bars Snack Size,45,19
38710,"Moscato, Red, California",28,5
34978,Bar Harbor Blend,117,19
11847,Dual Action Freeze Therapy Plus Fast Acting Liquid,118,11
44797,Regular Antiperspirant/Deodorant,80,11
15988,Black Bean Fiesta Crackers,78,19
28161,Complete Crest Complete Whitening + Deep Clean Effervescent Mint Toothpaste 5.8oz Dentifrice,20,11
46859,Clip-on Toothbrush Protector,20,11
38317,Mini Easter Candy Cane,100,21
49437,"Asian Sauces, Gourmet, Thai Peanut",66,6
19301,Black Cherry Greek Style Yogurt,120,16
48547,Dailyfoods Vitamin D-3 2000 IU 100% Whole Food,47,11
13444,Hot Chili Flavor Ramen Noodle Soup,4,9
35508,Turmeric Curcumin Capsules,47,11
30894,Supreme Peanut Butter Brownie Mix,105,13
9534,Organic White Bread Done Right,112,3
28728,Organic Falafel,129,1
35031,2 Alarm Chili Kit,69,15
15292,Made Vitamin D3 1000 I.U,47,11
19482,Organic Gluten Free Brown Rice Spaghetti,131,9
31285,"Coconut Water, Pulp, Real",98,7
30802,Mint Whitening Gel Toothpaste,20,11
15529,Organic Bunched Greens Juice,98,7
24861,Low-Moisture Part-Skim Mozzarella String Cheese Family Size,21,16
45350,Special K Heavenly Caramel Brownies,121,14
44982,Coconut Bliss Pineapple Coconut,37,1
23467,Platinum Premium Lubricant,6,2
